"Marca temporal","Seleccione el rango etario al cual pertenece","Seleccione nacionalidad a la que pertenece ","¿Cuántas veces a la semana realiza actividad física de al menos 30 minutos al día?","¿Con cuánta frecuencia consume galletas?","¿En qué tiempo de comida suele consumir galletas?","¿Qué tipo de galletas consume?","¿Cuántas unidades suele consumir de galletas?","¿En qué se fija al momento de comprar una galleta?","Considerando su respuesta anterior, ¿cuál es el factor más importante para usted al momento de comprar una galleta?","¿Suele leer los ingredientes de estas galletas?","¿Consume galletas con alguno de estos ingredientes que aportan fibra dietética, enfocados en mejorar la salud intestinal?","¿Se siente satisfecho luego del consumo de galletas?","¿Ha notado diferencias en la sensación de plenitud (sentirse satisfecho) cuando consume galletas azucaradas en comparación a las integrales?  ","¿Cuánto dinero está dispuesto a pagar al momento de comprar un paquete de galletas? ","¿Estaría dispuesto a pagar más por una galleta de mejor composición nutricional que presente beneficios para su salud digestiva?","¿Usted consumiría galletas preparadas con harina de cáscara de papa?","¿Cuál de estos factores consideraría más importante al momento de comprar una galleta elaborada con cáscara de papa?","¿Cuál de las siguientes afirmaciones refleja mejor su opinión sobre galletas con cáscara de papas?"
"2024/05/16 2:03:35 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas integrales","2 unidades","Calidad;Ingredientes en general;Ingredientes saludables;Sellos de advertencia","Ingredientes en general","Sí","Galletas de salvado trigo;Galletas de harina integral;Galletas de salvado arroz;Galletas de almidón modificado;Galletas con harina de cáscara de papa","No, no me quita el hambre","No, es igual","$3000 o más","Sí","Sí","Bajo contenido de grasas saturadas;Alto contenido de fibra","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 2:03:50 p. m. GMT-4","25-30 años","Otra","5-6 veces a la semana","1-2 veces al mes","Once","Galletas rellenas con crema;Galletas sin azúcar","6 unidades","Sabor","Sabor","Algunas veces","Galletas de harina integral","Sí, me quita el hambre","No, es igual","$1000 - $1500","Sí","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 2:05:27 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","Todos los días","Colación","Galletas integrales","6 unidades","Ingredientes en general;Ingredientes saludables","Ingredientes saludables","Sí","Galletas de salvado trigo","Sí, me quita el hambre","No, es igual","$1500 - $2000","No","Sí","Bajo contenido de grasas saturadas;Alto contenido de fibra;Reducción del desperdicio de alimentos;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 2:06:47 p. m. GMT-4","18-24 años","Chilena","Todos los días","3-4 veces a la semana","A cualquier hora del día","Galletas de sabores (mantequilla, limón, vino, chocolate)","Más de 10 unidades","Sabor","Ingredientes en general","Algunas veces","No consumo","No, no me quita el hambre","Sí","$1000 - $1500","Tal vez","Tal vez","Alto contenido de fibra","Son una alternativa poco atractiva en comparación con otras opciones en el mercado"
"2024/05/16 2:20:47 p. m. GMT-4","31-40 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","8 unidades","Sabor","Sabor","No","Galletas de salvado trigo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Sí","Sabor similar a una galleta elaborada tradicionalmente","No tengo suficiente información para formar una opinión"
"2024/05/16 2:22:13 p. m. GMT-4","25-30 años","Chilena","1-2 veces a la semana","1-2 veces al mes","A cualquier hora del día","Galletas rellenas con crema","3 unidades","Marca","Marca","No","No consumo","Sí, me quita el hambre","Sí","$1000 - $1500","Tal vez","Tal vez","Bajo contenido de grasas saturadas;Alto contenido de fibra","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 2:28:20 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","3-4 veces a la semana","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema","8 unidades","Sabor","Sabor","Algunas veces","No consumo","No, no me quita el hambre","Sí","$1000 - $1500","Sí","Sí","Bajo contenido de grasas saturadas;Alto contenido de fibra;Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/16 2:29:44 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","Once","Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Marca","Sabor","No","Galletas de salvado trigo","Sí, me quita el hambre","Sí","$1000 - $1500","Sí","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 2:31:05 p. m. GMT-4","25-30 años","Chilena","5-6 veces a la semana","3-4 veces a la semana","A cualquier hora del día","Galletas integrales;Galletas de soda/agua;Galletas rellenas con crema","5 unidades","Calidad;Ingredientes en general","Calidad","Algunas veces","Galletas de harina integral","Sí, me quita el hambre","Sí","$1000 - $1500","Sí","Sí","Bajo contenido de grasas saturadas;Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 2:32:48 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces al mes","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","1 unidad","Sabor","Sabor","Algunas veces","Galletas de harina integral","Sí, me quita el hambre","No he prestado atención","$1500 - $2000","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 2:39:41 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","8 unidades","Precio;Sabor;Empaque llamativo;Marca","Sabor","No","No consumo","No, no me quita el hambre","No he prestado atención","$1000 - $1500","No","Sí","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 2:40:27 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","Colación","Galletas rellenas con crema;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Precio;Sabor","Sabor","Sí","No consumo","No, no me quita el hambre","Sí","$1000 - $1500","Sí","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 2:45:11 p. m. GMT-4","31-40 años","Chilena","Todos los días","1-2 veces al mes","A cualquier hora del día","Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio","Precio","No","Galletas de salvado trigo;Galletas de salvado arroz","No, no me quita el hambre","Sí","$500 - $1000","Tal vez","Sí","Alto contenido de fibra","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 2:48:46 p. m. GMT-4","51 años o más","Chilena","No realizo actividad física","1-2 veces al mes","A cualquier hora del día","Galletas de sabores (mantequilla, limón, vino, chocolate)","8 unidades","Calidad","Calidad","Algunas veces","Galletas de salvado trigo","No, no me quita el hambre","No, es igual","$2000 - $3000","Sí","Tal vez","Bajo contenido de grasas saturadas","No tengo suficiente información para formar una opinión"
"2024/05/16 2:48:58 p. m. GMT-4","25-30 años","Chilena","1-2 veces a la semana","1-2 veces al mes","Once","Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Sabor","Sabor","No","Galletas de harina integral","Sí, me quita el hambre","No he prestado atención","$1500 - $2000","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 2:54:05 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","Colación","Galletas rellenas con crema;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Sabor;Marca","Sabor","Algunas veces","Galletas de salvado arroz","Sí, me quita el hambre","No, es igual","$3000 o más","Sí","Sí","Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 2:55:05 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","1-2 veces al mes","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","8 unidades","Sabor","Calidad","Algunas veces","Galletas de harina integral","Sí, me quita el hambre","No, es igual","$1500 - $2000","Sí","Sí","Reducción del desperdicio de alimentos","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 2:56:03 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","1-2 veces a la semana","Once","Galletas de soda/agua;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Calidad;Sabor;Sellos de advertencia;Marca","Marca","Sí","Galletas de salvado trigo;Galletas de salvado arroz","No, no me quita el hambre","Sí","$1500 - $2000","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Son una alternativa poco atractiva en comparación con otras opciones en el mercado"
"2024/05/16 2:56:41 p. m. GMT-4","41-50 años","Peruana","No realizo actividad física","1-2 veces al mes","Once","Galletas integrales;Galletas de soda/agua;Galletas rellenas con crema","6 unidades","Sabor","Marca","No","Galletas de salvado trigo;Galletas de harina integral","Sí, me quita el hambre","No he prestado atención","$500 - $1000","Sí","Tal vez","Bajo contenido de grasas saturadas","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 2:57:34 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","5-6 veces a la semana","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","Más de 10 unidades","Calidad","Calidad","No","No consumo","Sí, me quita el hambre","Sí","$3000 o más","Tal vez","No","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 2:58:47 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Sabor;Sellos de advertencia;Empaque llamativo;Marca","Sellos de advertencia","Sí","Galletas de salvado trigo","No, no me quita el hambre","Sí","$1500 - $2000","Tal vez","Sí","Alto contenido de fibra;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 3:04:58 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","1-2 veces a la semana","Once","Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Sabor","Ingredientes en general","Algunas veces","No consumo","No, no me quita el hambre","No, es igual","$500 - $1000","Sí","Tal vez","Bajo contenido de grasas saturadas","No tengo suficiente información para formar una opinión"
"2024/05/16 3:06:15 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Calidad;Sabor;Marca","Sabor","Algunas veces","No consumo","No, no me quita el hambre","No, es igual","$1000 - $1500","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 3:07:14 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","5-6 veces a la semana","Colación","Galletas rellenas con crema","Más de 10 unidades","Precio","Precio","Sí","Galletas de salvado trigo;Galletas de harina integral","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 3:08:19 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","Todos los días","A cualquier hora del día","Galletas de soda/agua;Galletas rellenas con crema;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","7 unidades","Sabor","Sabor","Algunas veces","Galletas de salvado trigo;Galletas de harina integral","No, no me quita el hambre","No he prestado atención","$500 - $1000","Tal vez","Sí","Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 3:09:41 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Colación","Galletas rellenas con crema","Más de 10 unidades","Sabor","Sabor","Algunas veces","No consumo","No, no me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Sí","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 3:15:22 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","5-6 veces a la semana","Colación","Galletas rellenas con crema;Galletas sin azúcar;Galletas de sabores (mantequilla, limón, vino, chocolate)","7 unidades","Precio;Calidad;Sabor;Ingredientes en general;Marca","Calidad","Algunas veces","No consumo","Sí, me quita el hambre","Sí","$1500 - $2000","Sí","Tal vez","Alto contenido de fibra;Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 3:19:55 p. m. GMT-4","51 años o más","Chilena","5-6 veces a la semana","1-2 veces al mes","A cualquier hora del día","Galletas de soda/agua;Galletas tipo oblea;Galletas rellenas con crema","10 unidades","Precio;Sabor","Calidad","No","No consumo","Sí, me quita el hambre","No he prestado atención","$500 - $1000","No","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/16 3:20:05 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","Todos los días","Colación","Galletas integrales;Galletas sin azúcar;Galletas de arroz","4 unidades","Precio;Ingredientes en general;Ingredientes saludables;Sellos de advertencia","Ingredientes en general","Sí","Galletas de salvado trigo;Galletas de harina integral;Galletas de salvado arroz","Sí, me quita el hambre","No, es igual","$3000 o más","Sí","Tal vez","Bajo contenido de grasas saturadas;Alto contenido de fibra;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 3:23:05 p. m. GMT-4","25-30 años","Chilena","No realizo actividad física","1-2 veces al mes","A cualquier hora del día","Galletas rellenas con crema","3 unidades","Sabor;Ingredientes en general","Sabor","Sí","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 3:24:57 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","Todos los días","Colación","Galletas de arroz","6 unidades","Precio;Calidad;Sabor","Precio","Algunas veces","Galletas de salvado arroz","Sí, me quita el hambre","No he prestado atención","$500 - $1000","Sí","Tal vez","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 3:27:53 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","3-4 veces a la semana","Colación","Galletas rellenas con crema","3 unidades","Sabor","Sabor","Sí","No consumo","No, no me quita el hambre","No, es igual","$1000 - $1500","Sí","Sí","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 3:38:35 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","Desayuno","Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","Más de 10 unidades","Calidad;Sabor;Marca","Sabor","No","No consumo","Sí, me quita el hambre","No, es igual","$1000 - $1500","No","Sí","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Son una alternativa poco atractiva en comparación con otras opciones en el mercado"
"2024/05/16 3:43:24 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Once","Galletas de sabores (mantequilla, limón, vino, chocolate)","Más de 10 unidades","Sabor","Sabor","No","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 3:49:33 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","3-4 veces a la semana","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","1 unidad","Sabor","Sabor","No","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/16 4:03:18 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","3-4 veces a la semana","A cualquier hora del día","Galletas integrales;Galletas sin azúcar;Galletas de sabores (mantequilla, limón, vino, chocolate)","8 unidades","Sabor;Ingredientes en general","Sabor","Sí","No consumo","No, no me quita el hambre","Sí","$1500 - $2000","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 4:20:56 p. m. GMT-4","18-24 años","Chilena","Todos los días","3-4 veces a la semana","Colación","Galletas integrales;Galletas rellenas con crema;Galletas sin azúcar;Galletas de arroz","10 unidades","Ingredientes en general","Precio","Sí","Galletas de salvado trigo;Galletas de harina integral;Galletas de salvado arroz;Galletas con harina de cáscara de papa","No, no me quita el hambre","Sí","$500 - $1000","Tal vez","Sí","Reducción del desperdicio de alimentos","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 4:35:29 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","3-4 veces a la semana","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Calidad;Sabor;Sellos de advertencia;Marca","Calidad","Algunas veces","Galletas de salvado trigo;Galletas de harina integral","Sí, me quita el hambre","No he prestado atención","$2000 - $3000","Tal vez","Sí","Alto contenido de fibra;Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 4:38:14 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","Todos los días","Colación","Galletas de soda/agua;Galletas tipo oblea","Más de 10 unidades","Precio;Calidad","Precio","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$500 - $1000","Tal vez","Sí","Reducción del desperdicio de alimentos;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 4:52:04 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces al mes","A cualquier hora del día","Galletas de soda/agua;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Sabor","Sabor","No","Galletas de salvado trigo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Tal vez","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 5:02:27 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","Colación","Galletas integrales;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Calidad;Sabor;Ingredientes en general","Sabor","Sí","Galletas de harina integral","No, no me quita el hambre","No he prestado atención","$3000 o más","Sí","Sí","Alto contenido de fibra;Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 5:29:24 p. m. GMT-4","18-24 años","Chilena","Todos los días","1-2 veces al mes","A cualquier hora del día","Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Calidad;Sabor;Ingredientes en general","Sabor","Sí","Galletas de salvado trigo;Galletas de harina integral;Galletas de salvado arroz;Galletas de almidón modificado","No, no me quita el hambre","Sí","$1000 - $1500","Sí","Tal vez","Bajo contenido de grasas saturadas","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/16 5:31:25 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","5-6 veces a la semana","A cualquier hora del día","Galletas de soda/agua;Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Sabor","Sabor","No","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Sabor similar a una galleta elaborada tradicionalmente","No tengo suficiente información para formar una opinión"
"2024/05/16 5:33:53 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","Once","Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Marca","Marca","No","Galletas de salvado arroz","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Reducción del desperdicio de alimentos","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/16 5:35:09 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces al mes","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","8 unidades","Precio;Sabor;Marca","Sabor","No","No consumo","No, no me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
