"Marca temporal","Seleccione el rango etario al cual pertenece","Seleccione nacionalidad a la que pertenece ","¿Cuántas veces a la semana realiza actividad física de al menos 30 minutos al día?","¿Con cuánta frecuencia consume galletas?","¿En qué tiempo de comida suele consumir galletas?","¿Qué tipo de galletas consume?","¿Cuántas unidades suele consumir de galletas?","¿En qué se fija al momento de comprar una galleta?","Considerando su respuesta anterior, ¿cuál es el factor más importante para usted al momento de comprar una galleta?","¿Suele leer los ingredientes de estas galletas?","¿Consume galletas con alguno de estos ingredientes que aportan fibra dietética, enfocados en mejorar la salud intestinal?","¿Se siente satisfecho luego del consumo de galletas?","¿Ha notado diferencias en la sensación de plenitud (sentirse satisfecho) cuando consume galletas azucaradas en comparación a las integrales?  ","¿Cuánto dinero está dispuesto a pagar al momento de comprar un paquete de galletas? ","¿Estaría dispuesto a pagar más por una galleta de mejor composición nutricional que presente beneficios para su salud digestiva?","¿Usted consumiría galletas preparadas con harina de cáscara de papa?","¿Cuál de estos factores consideraría más importante al momento de comprar una galleta elaborada con cáscara de papa?","¿Cuál de las siguientes afirmaciones refleja mejor su opinión sobre galletas con cáscara de papas?"
"2024/05/17 8:16:33 p. m. GMT-4","31-40 años","Chilena","No realizo actividad física","1-2 veces al mes","A cualquier hora del día","Galletas tipo oblea","Más de 10 unidades","Sabor","Sabor","No","Galletas de salvado trigo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/17 8:36:22 p. m. GMT-4","41-50 años","Chilena","No realizo actividad física","1-2 veces a la semana","A cualquier hora del día","Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Sabor","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/17 8:43:15 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","5-6 veces a la semana","Colación","Galletas integrales;Galletas sin azúcar","3 unidades","Precio;Sabor;Ingredientes en general","Ingredientes en general","Sí","No consumo","Sí, me quita el hambre","Sí","$500 - $1000","Tal vez","Sí","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/18 2:25:55 a. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Colación","Galletas integrales;Galletas de soda/agua;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Precio;Sabor;Ingredientes en general;Marca","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Sí","No","Alto contenido de fibra;Precio conveniente","Me preocupan sus ingredientes y preferiría no probarlas"
"2024/05/18 2:25:57 a. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Colación","Galletas integrales;Galletas de soda/agua;Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Precio;Sabor","Sabor","Algunas veces","No consumo","No, no me quita el hambre","No, es igual","$500 - $1000","No","Sí","Alto contenido de fibra","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/19 8:56:54 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Sabor;Empaque llamativo;Marca","Sabor","No","No consumo","No, no me quita el hambre","No he prestado atención","$500 - $1000","Tal vez","Tal vez","Bajo contenido de grasas saturadas","No tengo suficiente información para formar una opinión"
"2024/05/22 12:26:58 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","3-4 veces a la semana","A cualquier hora del día","Galletas de soda/agua;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","8 unidades","Precio;Sabor;Marca","Sabor","No","No consumo","Sí, me quita el hambre","No he prestado atención","$1500 - $2000","Sí","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 12:27:11 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","3-4 veces a la semana","A cualquier hora del día","Galletas integrales;Galletas rellenas con crema;Galletas de arroz","4 unidades","Precio;Sabor;Marca","Precio","No","No consumo","No, no me quita el hambre","Sí","$1500 - $2000","Tal vez","Sí","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 12:30:17 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","Colación","Galletas rellenas con crema;Galletas sin azúcar;Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Sabor;Ingredientes en general;Ingredientes saludables","Sabor","Sí","No consumo","No, no me quita el hambre","No he prestado atención","$2000 - $3000","Sí","Sí","Alto contenido de fibra;Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 12:31:34 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces al mes","A cualquier hora del día","Galletas rellenas con crema","10 unidades","Sabor","Sabor","Sí","Galletas de salvado trigo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Sí","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 12:37:11 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Once","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Sabor;Sellos de advertencia","Sabor","Sí","No consumo","No, no me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 12:42:53 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces al mes","Desayuno","Galletas tipo oblea;Galletas rellenas con crema","5 unidades","Precio;Sabor;Ingredientes en general","Sabor","Sí","Galletas de salvado trigo;Galletas de salvado arroz","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Sí","Bajo contenido de grasas saturadas;Alto contenido de fibra;Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 1:26:00 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","3-4 veces a la semana","A cualquier hora del día","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Precio;Sabor","Precio","No","No consumo","Sí, me quita el hambre","No he prestado atención","$500 - $1000","Tal vez","Tal vez","Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/22 2:25:12 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces al mes","Almuerzo","Galletas integrales;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Sabor;Ingredientes en general","Ingredientes en general","Sí","Galletas de salvado trigo","No, no me quita el hambre","Sí","$2000 - $3000","Tal vez","Sí","Bajo contenido de grasas saturadas;Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/22 2:27:15 p. m. GMT-4","25-30 años","Chilena","No realizo actividad física","1-2 veces a la semana","Cena","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Calidad;Sabor;Empaque llamativo","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$3000 o más","Sí","Sí","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 2:47:10 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","5-6 veces a la semana","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","Más de 10 unidades","Precio;Sabor;Marca","Sabor","No","No consumo","No, no me quita el hambre","Sí","$1000 - $1500","Tal vez","Sí","Alto contenido de fibra;Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/22 2:51:11 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces al mes","A cualquier hora del día","Galletas integrales;Galletas de soda/agua;Galletas tipo oblea;Galletas rellenas con crema;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Sabor","Precio","Sí","Galletas de harina integral","Sí, me quita el hambre","Sí","$1500 - $2000","Tal vez","Tal vez","Bajo contenido de grasas saturadas;Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 2:51:29 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","Nunca","A cualquier hora del día","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Precio;Calidad;Sabor","Sabor","No","No consumo","No, no me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 2:53:21 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","Colación","Galletas integrales;Galletas tipo oblea;Galletas sin azúcar;Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Sabor;Ingredientes en general;Ingredientes saludables","Ingredientes en general","Sí","No consumo","Sí, me quita el hambre","No, es igual","$1500 - $2000","Tal vez","No","Sabor similar a una galleta elaborada tradicionalmente","No tengo suficiente información para formar una opinión"
"2024/05/22 2:53:43 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","Colación","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Sabor;Marca","Sabor","No","No consumo","Sí, me quita el hambre","Sí","$1000 - $1500","Tal vez","Sí","Bajo contenido de grasas saturadas;Alto contenido de fibra;Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/22 2:57:39 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","3-4 veces a la semana","Colación","Galletas sin azúcar;Galletas de arroz","3 unidades","Calidad;Ingredientes en general;Marca","Ingredientes en general","Sí","Galletas de salvado trigo","Sí, me quita el hambre","No, es igual","$1000 - $1500","Sí","Sí","Bajo contenido de grasas saturadas","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 2:58:02 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas integrales;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Calidad;Sabor;Sellos de advertencia;Marca","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No, es igual","$500 - $1000","Tal vez","Sí","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 3:01:58 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","5-6 veces a la semana","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","7 unidades","Precio;Sabor","Sabor","No","No consumo","No, no me quita el hambre","No, es igual","$1000 - $1500","Sí","Sí","Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/22 3:04:33 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","3-4 veces a la semana","A cualquier hora del día","Galletas rellenas con crema","6 unidades","Calidad;Sabor","Sabor","No","No consumo","No, no me quita el hambre","No, es igual","$500 - $1000","Tal vez","Sí","Bajo contenido de grasas saturadas;Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 3:11:40 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Colación","Galletas integrales;Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Calidad;Sabor;Marca","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 3:12:02 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas rellenas con crema","4 unidades","Precio;Sabor","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 3:16:01 p. m. GMT-4","18-24 años","Otra","1-2 veces a la semana","1-2 veces al mes","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","7 unidades","Precio;Sabor","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Sí","Reducción del desperdicio de alimentos;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 3:22:40 p. m. GMT-4","41-50 años","Chilena","3-4 veces a la semana","1-2 veces al mes","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Calidad;Sabor;Marca","Precio","Sí","No consumo","No, no me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Sí","Alto contenido de fibra","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/22 3:25:31 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","3-4 veces a la semana","Desayuno","Galletas tipo oblea;Galletas rellenas con crema;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","7 unidades","Sabor","Sabor","No","No consumo","Sí, me quita el hambre","No he prestado atención","$1500 - $2000","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/22 3:33:37 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","Todos los días","Colación","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Precio;Calidad;Sabor;Sellos de advertencia","Sabor","Algunas veces","Galletas de harina integral","Sí, me quita el hambre","No he prestado atención","$500 - $1000","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/22 3:59:46 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Colación","Galletas de soda/agua;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","3 unidades","Precio;Sabor;Marca","Marca","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$1500 - $2000","Sí","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","No tengo suficiente información para formar una opinión"
"2024/05/22 4:00:05 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Calidad;Sabor;Sellos de advertencia;Marca","Marca","No","No consumo","No, no me quita el hambre","Sí","$1000 - $1500","Tal vez","No","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 4:43:11 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas integrales;Galletas de soda/agua;Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","10 unidades","Calidad;Sabor;Marca","Sabor","No","Galletas de salvado trigo","Sí, me quita el hambre","No, es igual","$1500 - $2000","Tal vez","No","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Son una alternativa poco atractiva en comparación con otras opciones en el mercado"
"2024/05/22 4:43:47 p. m. GMT-4","18-24 años","Chilena","5-6 veces a la semana","1-2 veces a la semana","A cualquier hora del día","Galletas integrales;Galletas de soda/agua;Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","6 unidades","Precio;Calidad;Sabor;Ingredientes en general","Sabor","Sí","Galletas de salvado trigo","Sí, me quita el hambre","Sí","$1000 - $1500","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/22 4:48:54 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces al mes","A cualquier hora del día","Galletas rellenas con crema","9 unidades","Marca","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$1500 - $2000","No","Tal vez","Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"
"2024/05/22 5:43:26 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","1-2 veces al mes","Once","Galletas de sabores (mantequilla, limón, vino, chocolate)","Más de 10 unidades","Precio;Calidad;Sabor;Sellos de advertencia;Marca","Marca","No","No consumo","Sí, me quita el hambre","No, es igual","$1500 - $2000","Sí","Sí","Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/22 5:58:53 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Colación","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Sabor;Marca","Sabor","Algunas veces","Galletas de almidón modificado","Sí, me quita el hambre","No, es igual","$500 - $1000","Sí","Sí","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 6:18:06 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","3-4 veces a la semana","Colación","Galletas de arroz;Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Sabor;Marca","Sabor","No","Galletas de salvado arroz","Sí, me quita el hambre","No he prestado atención","$500 - $1000","No","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","No tengo suficiente información para formar una opinión"
"2024/05/22 6:26:09 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","A cualquier hora del día","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","Más de 10 unidades","Precio;Calidad;Marca","Sabor","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$2000 - $3000","Tal vez","Sí","Sabor similar a una galleta elaborada tradicionalmente","Son una alternativa poco atractiva en comparación con otras opciones en el mercado"
"2024/05/22 6:49:11 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","3-4 veces a la semana","Colación","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","10 unidades","Precio;Sabor;Marca","Sabor","No","Galletas de salvado trigo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Tal vez","Alto contenido de fibra;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 6:58:22 p. m. GMT-4","18-24 años","Chilena","1-2 veces a la semana","3-4 veces a la semana","A cualquier hora del día","Galletas tipo oblea;Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","8 unidades","Precio;Calidad;Sabor","Sabor","Algunas veces","No consumo","No, no me quita el hambre","No he prestado atención","$1500 - $2000","Tal vez","Tal vez","Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 7:08:30 p. m. GMT-4","31-40 años","Chilena","1-2 veces a la semana","1-2 veces a la semana","Colación","Galletas integrales;Galletas de soda/agua;Galletas tipo oblea;Galletas rellenas con crema","4 unidades","Precio;Sabor;Ingredientes saludables;Marca","Sabor","Algunas veces","Galletas de harina integral","Sí, me quita el hambre","Sí","$500 - $1000","No","Tal vez","Bajo contenido de grasas saturadas;Sabor similar a una galleta elaborada tradicionalmente;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/22 7:57:22 p. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces a la semana","Once","Galletas tipo oblea;Galletas de sabores (mantequilla, limón, vino, chocolate)","5 unidades","Precio;Calidad;Sabor","Sabor","No","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Sí","Tal vez","Alto contenido de fibra;Reducción del desperdicio de alimentos;Sabor similar a una galleta elaborada tradicionalmente","No tengo suficiente información para formar una opinión"
"2024/05/22 9:06:37 p. m. GMT-4","41-50 años","Chilena","3-4 veces a la semana","3-4 veces a la semana","A cualquier hora del día","Galletas de sabores (mantequilla, limón, vino, chocolate)","7 unidades","Sabor","Sabor","No","No consumo","No, no me quita el hambre","No, es igual","$3000 o más","Tal vez","Tal vez","Reducción del desperdicio de alimentos","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/23 2:30:06 a. m. GMT-4","18-24 años","Chilena","No realizo actividad física","1-2 veces al mes","Once","Galletas rellenas con crema;Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Sabor;Marca","Precio","Algunas veces","No consumo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Tal vez","Reducción del desperdicio de alimentos;Precio conveniente","Dependiendo del sabor, estaría dispuesto/a a probarlas"
"2024/05/23 2:33:40 p. m. GMT-4","18-24 años","Chilena","3-4 veces a la semana","1-2 veces a la semana","Colación","Galletas de sabores (mantequilla, limón, vino, chocolate)","4 unidades","Precio;Sabor;Ingredientes en general","Sabor","Sí","Galletas de salvado trigo","Sí, me quita el hambre","No he prestado atención","$1000 - $1500","Tal vez","Sí","Sabor similar a una galleta elaborada tradicionalmente","Son una opción interesante para diversificar mi dieta y obtener nutrientes adicionales"